Title                                                                                 | Meta Score | User Score
The Legend of Zelda: Ocarina of Time                                                  |       99.0 |        9.1
Super Mario Odyssey                                                                   |       97.0 |        8.9
Super Mario Galaxy                                                                    |       97.0 |        9.1
Super Mario Galaxy 2                                                                  |       97.0 |        9.1
Perfect Dark                                                                          |       97.0 |        8.8
Metroid Prime                                                                         |       97.0 |        9.0
The Legend of Zelda: Breath of the Wild                                               |       97.0 |        8.7
The Legend of Zelda: Breath of the Wild                                               |       96.0 |        8.3
GoldenEye 007                                                                         |       96.0 |        8.9
The Legend of Zelda: The Wind Waker                                                   |       96.0 |        9.0
The Legend of Zelda: Twilight Princess                                                |       96.0 |        9.0
The Legend of Zelda: Tears of the Kingdom                                             |       96.0 |        8.2
The Legend of Zelda: Majora's Mask                                                    |       95.0 |        9.1
The Legend of Zelda: A Link to the Past                                               |       95.0 |        9.0
The Legend of Zelda Collector's Edition                                               |       95.0 |        8.9
The Legend of Zelda: Twilight Princess                                                |       95.0 |        9.0
Super Mario Advance 4: Super Mario Bros. 3                                            |       94.0 |        9.1
Metroid Prime Remastered                                                              |       94.0 |        8.7
Super Mario 64                                                                        |       94.0 |        9.1
The Legend of Zelda: Ocarina of Time 3D                                               |       94.0 |        9.0
Paper Mario                                                                           |       93.0 |        9.0
Mario Kart Super Circuit                                                              |       93.0 |        8.0
Super Mario 3D World                                                                  |       93.0 |        8.9
Super Smash Bros. Ultimate                                                            |       93.0 |        8.6
The Legend of Zelda: Skyward Sword                                                    |       93.0 |        8.1
Super Smash Bros. Brawl                                                               |       93.0 |        8.8
Super Smash Bros. for Wii U                                                           |       92.0 |        8.9
Metroid Fusion                                                                        |       92.0 |        9.0
Bayonetta 2                                                                           |       92.0 |        8.6
Final Fantasy VI Advance                                                              |       92.0 |        8.7
Xenoblade Chronicles                                                                  |       92.0 |        9.1
Fire Emblem: Awakening                                                                |       92.0 |        9.0
Mario Kart 8 Deluxe                                                                   |       92.0 |        8.6
Metroid Prime 2: Echoes                                                               |       92.0 |        8.9
Super Smash Bros. Melee                                                               |       92.0 |        9.0
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed                       |       92.0 |        8.8
Super Mario Sunshine                                                                  |       92.0 |        8.3
Wave Race 64                                                                          |       92.0 |        8.3
Banjo-Kazooie                                                                         |       92.0 |        9.2
Advance Wars                                                                          |       92.0 |        8.8
Eternal Darkness: Sanity's Requiem                                                    |       92.0 |        8.8
Super Mario World: Super Mario Advance 2                                              |       92.0 |        9.1
Yoshi's Island: Super Mario Advance 3                                                 |       91.0 |        9.1
Bayonetta 2                                                                           |       91.0 |        8.9
The Legend of Zelda: A Link Between Worlds                                            |       91.0 |        9.0
Mario Golf                                                                            |       91.0 |        7.8
Mario Tennis                                                                          |       91.0 |        8.7
Golden Sun                                                                            |       91.0 |        9.0
Mario Kart DS                                                                         |       91.0 |        8.7
Metroid Prime Trilogy                                                                 |       91.0 |        9.2
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition                      |       91.0 |        8.6
The Legend of Zelda: Ocarina of Time / Master Quest                                   |       91.0 |        8.9
The Legend of Zelda: The Wind Waker HD                                                |       90.0 |        9.0
Banjo-Tooie                                                                           |       90.0 |        8.8
Bayonetta + Bayonetta 2                                                               |       90.0 |        8.7
The Legend of Zelda: Phantom Hourglass                                                |       90.0 |        7.9
Metroid Prime 3: Corruption                                                           |       90.0 |        8.8
Mario Kart 8 DLC Pack 2                                                               |       90.0 |        8.2
Mario & Luigi: Superstar Saga                                                         |       90.0 |        8.8
Mario & Luigi: Bowser's Inside Story                                                  |       90.0 |        8.8
Advance Wars: Dual Strike                                                             |       90.0 |        8.8
Super Mario 3D Land                                                                   |       90.0 |        8.4
Pushmo                                                                                |       90.0 |        8.3
Blast Corps                                                                           |       90.0 |        8.4
Pikmin 2                                                                              |       90.0 |        9.1
Advance Wars 2: Black Hole Rising                                                     |       89.0 |        8.8
Xenoblade Chronicles: Definitive Edition                                              |       89.0 |        8.8
Fire Emblem: Three Houses                                                             |       89.0 |        8.8
Xenoblade Chronicles 3                                                                |       89.0 |        8.5
WarioWare, Inc.: Mega Microgame$!                                                     |       89.0 |        8.6
The Legend of Zelda: Majora's Mask 3D                                                 |       89.0 |        8.9
F-Zero GX                                                                             |       89.0 |        8.6
Metroid: Zero Mission                                                                 |       89.0 |        9.1
The Legend of Zelda: The Minish Cap                                                   |       89.0 |        8.9
Pikmin                                                                                |       89.0 |        8.7
New Super Mario Bros.                                                                 |       89.0 |        8.6
Super Mario 3D World + Bowser's Fury                                                  |       89.0 |        8.7
Wario Land 4                                                                          |       88.0 |        8.8
Mario Kart 8                                                                          |       88.0 |        8.7
Super Mario Maker 2                                                                   |       88.0 |        8.5
Metroid Dread                                                                         |       88.0 |        8.7
Super Mario Maker                                                                     |       88.0 |        8.7
Fire Emblem Fates: Special Edition                                                    |       88.0 |        7.8
